fda,state,similarity_scores,scale,predicted,confidence_level
Zip Code,"['Collection Firm Zip Code', 'Collection Firm Address Line2', 'Collection Firm Address Line1', 'Collection Firm State', 'Collection Firm City', 'Manufacturer', 'Collection Firm ID', 'Collection Firm Name', 'Collection Firm Type', 'Country of Origin']","[0.851, 0.546, 0.541, 0.502, 0.484, 0.442, 0.439, 0.427, 0.417, 0.362]","[5, 3, 3, 3, 3, 3, 3, 3, 3, 2]",Collection Firm Zip Code,5
Address Line 1,"['Collection Firm Address Line1', 'Collection Firm Address Line2', 'Collection Firm City', 'Collection Firm State', 'Collection Firm Zip Code', 'Manufacturer', 'Collection Firm Name', 'Collection Firm Type', 'Country of Origin', 'Collection Firm ID']","[0.838, 0.729, 0.515, 0.485, 0.473, 0.45, 0.437, 0.419, 0.39, 0.385]","[5, 4, 3, 3, 3, 3, 3, 3, 2, 2]",Collection Firm Address Line1,5
Address Line 2,"['Collection Firm Address Line2', 'Collection Firm Address Line1', 'Manufacturer', 'Collection Firm State', 'Collection Firm Zip Code', 'Collection Firm Name', 'Collection Firm Type', 'Collection Firm City', 'Collection Firm ID', 'Country of Origin']","[0.852, 0.714, 0.53, 0.517, 0.509, 0.468, 0.461, 0.437, 0.42, 0.367]","[5, 4, 3, 3, 3, 3, 3, 3, 3, 2]",Collection Firm Address Line2,5
City,"['Collection Firm City', 'Collection Firm State', 'Collection Firm Address Line1', 'Collection Firm Address Line2', 'Country of Origin', 'Collection Firm Name', 'Collection Firm Type', 'Manufacturer', 'Collection Firm Zip Code', 'Collection Firm ID']","[0.784, 0.552, 0.549, 0.469, 0.462, 0.458, 0.457, 0.442, 0.441, 0.439]","[4, 3, 3, 3, 3, 3, 3, 3, 3, 3]",Collection Firm City,4
SampleReceivedDate,['Lab Receipt Date'],[0.504],[3],Lab Receipt Date,3
Sample Delivered Date,['Lab Receipt Date'],[0.586],[3],Lab Receipt Date,3
Method Genus,"['Salmonella Confirmatory Method', 'Salmonella Screen Method']","[0.4, 0.385]","[3, 2]",Salmonella Confirmatory Method,3
Method Remarks,"['Salmonella Screen Method Remarks', 'Salmonella Confirmatory Method Remarks']","[0.699, 0.527]","[4, 3]",Salmonella Screen Method Remarks,4
Lab Start Date,"['Salmonella Analysis Start Date', 'Salmonella Analysis Completion Date']","[0.727, 0.568]","[4, 3]",Salmonella Analysis Start Date,4
Lab End Date,"['Salmonella Analysis Completion Date', 'Salmonella Analysis Start Date']","[0.62, 0.601]","[4, 4]",Salmonella Analysis Completion Date,4
Species Code,"['Salmonella Screen Result', 'Salmonella Confirmatory Result']","[0.476, 0.448]","[3, 3]",Salmonella Screen Result,3
Test Result Remarks,"['Salmonella Final Result', 'Salmonella Serotype']","[0.584, 0.187]","[3, 1]",Salmonella Final Result,3
Analyte Presence Indicator,"['Salmonella Confirmatory Result', 'Salmonella Screen Result']","[0.471, 0.463]","[3, 3]",Salmonella Confirmatory Result,3
Result Genus,"['Salmonella Screen Result', 'Salmonella Confirmatory Result']","[0.556, 0.489]","[3, 3]",Salmonella Screen Result,3
